Sample,Community,Group,Treatment,Time,Replicate,NMR_file,pH,,,,,,,,
NS0.pHMO.48.1,Child_7,Nonconverter,pHMOs,48,1,SR_2020-10-07_ex70_p1.cnx,,,,,,,,,
NS0.pHMO.48.2,Child_7,Nonconverter,pHMOs,48,2,SR_2020-10-07_ex81_p1.cnx,,,,,,,,,
NS0.pHMO.48.3,Child_7,Nonconverter,pHMOs,48,3,SR_2020-10-07_ex91_p1.cnx,,,,,,,,,
NS0.pHMO.60.1,Child_7,Nonconverter,pHMOs,60,1,SR_2020-10-07_ex160_p1.cnx,,,,,,,,,
NS0.pHMO.60.2,Child_7,Nonconverter,pHMOs,60,2,SR_2020-10-07_ex170_p1.cnx,,,,,,,,,
NS0.pHMO.60.3,Child_7,Nonconverter,pHMOs,60,3,SR_2020-10-07_ex180_p1.cnx,,,,,,,,,
NS1.2FL.0.1,Child_1,Nonconverter,2FL,0,1,SR_20201202_ex10_p1.cnx,,,,,,,,,
NS1.2FL.0.2,Child_1,Nonconverter,2FL,0,2,SR_20201202_ex11_p1.cnx,,,,,,,,,
NS1.2FL.0.3,Child_1,Nonconverter,2FL,0,3,SR_20201202_ex12_p1.cnx,,,,,,,,,
NS1.2FL.12.1,Child_1,Nonconverter,2FL,12,1,SR_20201202_ex19_p1.cnx,,,,,,,,,
NS1.2FL.12.2,Child_1,Nonconverter,2FL,12,2,SR_20201202_ex20_p1.cnx,,,,,,,,,
NS1.2FL.12.3,Child_1,Nonconverter,2FL,12,3,SR_20201202_ex21_p1.cnx,,,,,,,,,
NS1.2FL.24.1,Child_1,Nonconverter,2FL,24,1,SR_20201204_ex4_p1.cnx,,,,,,,,,
NS1.2FL.24.2,Child_1,Nonconverter,2FL,24,2,SR_20201204_ex5_p1.cnx,,,,,,,,,
NS1.2FL.24.3,Child_1,Nonconverter,2FL,24,3,SR_20201204_ex6_p1.cnx,,,,,,,,,
NS1.2FL.36.1,Child_1,Nonconverter,2FL,36,1,SR_20201204_ex13_p1.cnx,,,,,,,,,
NS1.2FL.36.2,Child_1,Nonconverter,2FL,36,2,SR_20201204_ex14_p1.cnx,,,,,,,,,
NS1.2FL.36.3,Child_1,Nonconverter,2FL,36,3,SR_20201204_ex15_p1.cnx,,,,,,,,,
NS1.2FL.48.1,Child_1,Nonconverter,2FL,48,1,SR_20201204_ex22_p1.cnx,,,,,,,,,
NS1.2FL.48.2,Child_1,Nonconverter,2FL,48,2,SR_20201204_ex23_p1.cnx,,,,,,,,,
NS1.2FL.48.3,Child_1,Nonconverter,2FL,48,3,SR_20201204_ex24_p1.cnx,,,,,,,,,
NS1.2FL.60.1,Child_1,Nonconverter,2FL,60,1,SR_20201204_ex31_p1.cnx,,,,,,,,,
NS1.2FL.60.2,Child_1,Nonconverter,2FL,60,2,SR_20201204_ex32_p1.cnx,,,,,,,,,
NS1.2FL.60.3,Child_1,Nonconverter,2FL,60,3,SR_20201204_ex33_p1.cnx,,,,,,,,,
NS1.Con.0.1,Child_1,Nonconverter,No Treatment,0,1,SR_20201202_ex7_p1.cnx,,,,,,,,,
NS1.Con.0.2,Child_1,Nonconverter,No Treatment,0,2,SR_20201202_ex8_p1.cnx,,,,,,,,,
NS1.Con.0.3,Child_1,Nonconverter,No Treatment,0,3,SR_20201202_ex9_p1.cnx,,,,,,,,,
NS1.Con.12.1,Child_1,Nonconverter,No Treatment,12,1,SR_20201202_ex16_p1.cnx,,,,,,,,,
NS1.Con.12.2,Child_1,Nonconverter,No Treatment,12,2,SR_20201202_ex17_p1.cnx,,,,,,,,,
NS1.Con.12.3,Child_1,Nonconverter,No Treatment,12,3,SR_20201202_ex18_p1.cnx,,,,,,,,,
NS1.Con.24.1,Child_1,Nonconverter,No Treatment,24,1,SR_20201204_ex1_p1.cnx,,,,,,,,,
NS1.Con.24.2,Child_1,Nonconverter,No Treatment,24,2,SR_20201204_ex2_p1.cnx,,,,,,,,,
NS1.Con.24.3,Child_1,Nonconverter,No Treatment,24,3,SR_20201204_ex3_p1.cnx,,,,,,,,,
NS1.Con.36.1,Child_1,Nonconverter,No Treatment,36,1,SR_20201204_ex10_p1.cnx,,,,,,,,,
NS1.Con.36.2,Child_1,Nonconverter,No Treatment,36,2,SR_20201204_ex11_p1.cnx,,,,,,,,,
NS1.Con.36.3,Child_1,Nonconverter,No Treatment,36,3,SR_20201204_ex12_p1.cnx,,,,,,,,,
NS1.Con.48.1,Child_1,Nonconverter,No Treatment,48,1,SR_20201204_ex19_p1.cnx,,,,,,,,,
NS1.Con.48.2,Child_1,Nonconverter,No Treatment,48,2,SR_20201204_ex20_p1.cnx,,,,,,,,,
NS1.Con.48.3,Child_1,Nonconverter,No Treatment,48,3,SR_20201204_ex21_p1.cnx,,,,,,,,,
NS1.Con.60.1,Child_1,Nonconverter,No Treatment,60,1,SR_20201204_ex28_p1.cnx,,,,,,,,,
NS1.Con.60.2,Child_1,Nonconverter,No Treatment,60,2,SR_20201204_ex29_p1.cnx,,,,,,,,,
NS1.Con.60.3,Child_1,Nonconverter,No Treatment,60,3,SR_20201204_ex30_p1.cnx,,,,,,,,,
NS1.pHMO.0.1,Child_1,Nonconverter,pHMOs,0,1,SR_20201202_ex13_p1.cnx,,,,,,,,,
NS1.pHMO.0.2,Child_1,Nonconverter,pHMOs,0,2,SR_20201202_ex14_p1.cnx,,,,,,,,,
NS1.pHMO.0.3,Child_1,Nonconverter,pHMOs,0,3,SR_20201202_ex15_p1.cnx,,,,,,,,,
NS1.pHMO.12.1,Child_1,Nonconverter,pHMOs,12,1,SR_20201202_ex22_p1.cnx,,,,,,,,,
NS1.pHMO.12.2,Child_1,Nonconverter,pHMOs,12,2,SR_20201202_ex23_p1.cnx,,,,,,,,,
NS1.pHMO.12.3,Child_1,Nonconverter,pHMOs,12,3,SR_20201202_ex24_p1.cnx,,,,,,,,,
NS1.pHMO.24.1,Child_1,Nonconverter,pHMOs,24,1,SR_20201204_ex7_p1.cnx,,,,,,,,,
NS1.pHMO.24.2,Child_1,Nonconverter,pHMOs,24,2,SR_20201204_ex8_p1.cnx,,,,,,,,,
NS1.pHMO.24.3,Child_1,Nonconverter,pHMOs,24,3,SR_20201204_ex9_p1.cnx,,,,,,,,,
NS1.pHMO.36.1,Child_1,Nonconverter,pHMOs,36,1,SR_20201204_ex16_p1.cnx,,,,,,,,,
NS1.pHMO.36.2,Child_1,Nonconverter,pHMOs,36,2,SR_20201204_ex17_p1.cnx,,,,,,,,,
NS1.pHMO.36.3,Child_1,Nonconverter,pHMOs,36,3,SR_20201204_ex18_p1.cnx,,,,,,,,,
NS1.pHMO.48.1,Child_1,Nonconverter,pHMOs,48,1,SR_20201204_ex25_p1.cnx,,,,,,,,,
NS1.pHMO.48.2,Child_1,Nonconverter,pHMOs,48,2,SR_20201204_ex26_p1.cnx,,,,,,,,,
NS1.pHMO.48.3,Child_1,Nonconverter,pHMOs,48,3,SR_20201204_ex27_p1.cnx,,,,,,,,,
NS1.pHMO.60.1,Child_1,Nonconverter,pHMOs,60,1,SR_20201204_ex34_p1.cnx,,,,,,,,,
NS1.pHMO.60.2,Child_1,Nonconverter,pHMOs,60,2,SR_20201204_ex35_p1.cnx,,,,,,,,,
NS1.pHMO.60.3,Child_1,Nonconverter,pHMOs,60,3,SR_20201204_ex36_p1.cnx,,,,,,,,,
