Sample,Community,Treatment,Time,2'FL,3FL,3'SL,DFLac,6'SL,LNT,LNnT,LNFP I,LNFP II,LNFP III,LSTb,LSTc,DFLNT,LNH,DSLNT,FLNH,DFLNH,FDSLNH,DSLNH,SUM,Sia,Fuc
S3.2FL.6h,Child_3,2FL,6,2.040623131,,,,,,,,,,,,,,,,,,,2.040623131,,2.040623131
S3.2FL.12h,Child_3,2FL,12,2.790641397,,,,,,,,,,,,,,,,,,,2.790641397,,2.790641397
S3.2FL.24h,Child_3,2FL,24,1.416731724,,,,,,,,,,,,,,,,,,,1.416731724,,1.416731724
S3.2FL.36h,Child_3,2FL,36,0.970795878,,,,,,,,,,,,,,,,,,,0.970795878,,0.970795878
NS4.2FL.0h,Child_4,2FL,0,772.5746389,,,,,,,,,,,,,,,,,,,772.5746389,,772.5746389
NS4.2FL.3h,Child_4,2FL,3,3.893216177,,,,,,,,,,,,,,,,,,,3.893216177,,3.893216177
NS4.2FL.6h,Child_4,2FL,6,0.977986092,,,,,,,,,,,,,,,,,,,0.977986092,,0.977986092
NS4.2FL.12h,Child_4,2FL,12,1.00297255,,,,,,,,,,,,,,,,,,,1.00297255,,1.00297255
NS4.2FL.24h,Child_4,2FL,24,0.903107588,,,,,,,,,,,,,,,,,,,0.903107588,,0.903107588
NS4.2FL.36h,Child_4,2FL,36,0.35629315,,,,,,,,,,,,,,,,,,,0.35629315,,0.35629315
S5.2FL.0h,Child_5,2FL,0,704.4605248,,,,,,,,,,,,,,,,,,,704.4605248,,704.4605248
S5.2FL.3h,Child_5,2FL,3,0.754551523,,,,,,,,,,,,,,,,,,,0.754551523,,0.754551523
S5.2FL.6h,Child_5,2FL,6,1.789197934,,,,,,,,,,,,,,,,,,,1.789197934,,1.789197934
S5.2FL.12h,Child_5,2FL,12,1.128090328,,,,,,,,,,,,,,,,,,,1.128090328,,1.128090328
S5.2FL.24h,Child_5,2FL,24,0.620420088,,,,,,,,,,,,,,,,,,,0.620420088,,0.620420088
S5.2FL.36h,Child_5,2FL,36,0.586925666,,,,,,,,,,,,,,,,,,,0.586925666,,0.586925666
NS6.2FL.0h,Child_6,2FL,0,704.807487,,,,,,,,,,,,,,,,,,,704.807487,,704.807487
NS6.2FL.3h,Child_6,2FL,3,13.45245052,,,,,,,,,,,,,,,,,,,13.45245052,,13.45245052
NS6.2FL.6h,Child_6,2FL,6,0.877099561,,,,,,,,,,,,,,,,,,,0.877099561,,0.877099561
NS6.2FL.12h,Child_6,2FL,12,0.400488382,,,,,,,,,,,,,,,,,,,0.400488382,,0.400488382
NS6.2FL.24h,Child_6,2FL,24,0.262030289,,,,,,,,,,,,,,,,,,,0.262030289,,0.262030289
NS6.2FL.36h,Child_6,2FL,36,0.324212839,,,,,,,,,,,,,,,,,,,0.324212839,,0.324212839
