NMR_file,2-Piperidinone,3-Phenylpropionate,4-Hydroxyphenylacetate,4-Aminobenzoate,5-Aminopentanoate,Acetate,Alanine,Benzoate,Butyrate,Desaminotyrosine,Dimethylamine,Ethanol,Formate,Fumarate,Glutamate,Glycine,Glycolate,Histidine,Hypoxanthine,Indole,Isobutyrate,Isoleucine,Isovalerate,Aspartate,Lactate,Leucine,Malonate,Methanol,Methionine,Methylamine,Nicotinate,Phenylacetate,Phenylalanine,Propionate,Propanol,Pyroglutamate,Succinate,Tartrate,Threonine,Thymine,Trimethylamine,Tyrosine,Uracil,Valerate,Valine,p-Cresol,Beta-Alanine
SR_2020-10-07_ex120_p1.cnx,0,0.32,0.0221,0.066,0.0401,62.2682,0.0689,0.0109,10.3818,0.0434,0,13.8161,0.1488,1.00E-04,0.0312,0.0331,0.2701,0,0,0.047,1.5991,0,1.0626,0,0,0.1058,0.0106,1.3089,0.0018,0.0848,0,0.0304,0.0048,29.6202,1.377,0.057,0.0016,0.0441,0,0,0.6732,0.0046,0.0091,2.798,0,0,0.0072
SR_2020-10-07_ex130_p1.cnx,0.0129,0.3133,0.0145,0.0646,0.0438,65.1725,0.06,0.0118,9.8059,0.0353,0,15.6576,0.0816,1.00E-04,0.0523,0.0278,0.2685,0,0,0.0301,1.4843,0,0.9483,0,0,0.0782,0.0145,1.3759,0.0022,0.076,0,0.0317,0.0055,29.6122,2.9316,0.0548,6.00E-04,0.0408,0,0,0.6668,0.0069,0.0055,3.0052,0,0,0.0045
SR_2020-10-07_ex140_p1.cnx,0.0134,0.3094,0.0163,0.0627,0.0346,65.3996,0.0616,0.0118,9.7181,0.0381,0,15.5595,0.0823,1.00E-04,0.0564,0.0279,0.2605,0,0,0.0264,1.4635,0,0.9822,0,0,0.0844,0.0174,1.3846,0.0024,0.0744,0,0.0511,0.0073,29.5995,2.9115,0.0587,0.003,0.0388,0,0,0.6609,0.0039,0.0067,2.8228,0,0,0.0034
SR_2020-10-07_ex150_p1.cnx,0,0.3008,0.0116,0.0646,0.0296,66.158,0.0664,0.0113,9.5856,0.0376,0,15.3338,0.0923,1.00E-04,0.0722,0.0298,0.2601,0,0,0.0207,1.4778,0,1.0027,0,0,0.0667,0.0151,1.3738,0.0021,0.0744,0,0.045,0.0088,30.1626,2.8415,0.0533,0.0026,0.0372,0,0,0.6549,0.0044,0.0085,2.8205,0,0,0.0039
SR_2020-10-07_ex160_p1.cnx,0,0.2919,0.008,0.0628,0.1285,102.5491,0.3959,0.0137,11.249,0.0215,0,23.5547,0.0302,1.00E-04,0.0894,0.0728,0.1957,0.028,0,0.0142,1.4676,0.1115,0.9956,0,0,0.2629,0.1945,1.7898,0,0.0425,0,0.0513,0.078,45.5559,8.4967,0.0379,0.0014,0.053,0,0.0535,1.0592,0.093,0.3633,3.1025,0.1245,0,0.026
SR_2020-10-07_ex170_p1.cnx,0,0.2501,0.0096,0.0569,0.1005,87.5259,0.3318,0.0116,5.9119,0.0191,0,20.313,0.0266,1.00E-04,0.0608,0.0496,0.1725,0.0265,0,0.019,1.2613,0.1049,0.8623,0,0,0.2066,0.1762,1.509,0,0.0324,0,0.0464,0.0693,39.3184,7.7695,0.0394,9.00E-04,0.0441,0,0.0433,0.9166,0.0761,0.299,2.7308,0.108,0,0.0184
SR_2020-10-07_ex180_p1.cnx,0,0.242,0.0087,0.0566,0.109,87.9345,0.3182,0.0106,10.1525,0.0142,0,20.6126,0.0266,1.00E-04,0.0606,0.0608,0.1674,0.0252,0,0.0247,1.2293,0.1042,0.882,0.0185,0,0.194,0.1793,1.5575,0,0.0381,0,0.0478,0.0561,38.6132,7.8874,0.0305,0.0013,0.0438,0,0.0432,0.9031,0.0718,0.2811,2.6962,0.1093,0,0.0158
SR_20201204_ex28_p1.cnx,0.0082,0,0.0084,0.0301,0.057,65.2469,0.0531,0.0854,10.058,0.0034,0,6.8057,0.0051,0,0.0409,0.014,0.2201,0.0033,0,0.0328,1.0479,0,0.8205,0,0.0034,0,0.0127,0.0237,0.003,0.0511,0,0.2191,0,17.5327,2.7235,0,7.00E-04,0.0035,0,0.006,0.4495,0.0036,0.0112,3.3222,0,0.0514,0.0067
SR_20201204_ex29_p1.cnx,0.0076,0,0.0179,0.0296,0.0528,65.5084,0.0535,0.0946,10.1031,0.0016,0,7.094,0.0257,0,0.0294,0.0084,0.2227,0.0041,0,0.0337,1.0236,0,0.8184,0,0.0051,0,0.0125,0.0279,0.0023,0.0504,0,0.2428,0,17.2455,2.7514,0,0.0013,0,0,0.0062,0.4557,0.0045,0.0113,3.3918,0,0.0555,0.0048
SR_20201204_ex30_p1.cnx,0.0073,0,0.0108,0.0273,0.0478,62.8424,0.0481,0.0976,9.8946,0.0017,0,6.7613,0.0079,0,0.025,0.0126,0.2095,0.0055,0,0.039,1.0451,0,0.797,0,0.0066,0,0.0118,0.0242,0.0031,0.0459,0,0.2307,0,17.0586,2.7921,0,0.0018,0,0,0,0.4451,0.0052,0.0064,3.6729,0,0.0615,0.0057
