Sample,cellcounts
NS6.2FL.36.1,164930000
NS6.2FL.36.2,164930000
NS6.2FL.36.3,164930000
NS6.2FL.48.1,129360000
NS6.2FL.48.2,129360000
NS6.2FL.48.3,129360000
NS6.2FL.60.1,170270000
NS6.2FL.60.2,170270000
NS6.2FL.60.3,170270000
NS6.2FL.72.1,145320000
NS6.2FL.72.2,141900000
NS6.2FL.72.3,155920000
NS6.Con.0.1,145430000
NS6.Con.0.2,145430000
NS6.Con.0.3,145430000
NS6.Con.12.1,257920000
NS6.Con.12.2,166630000
NS6.Con.12.3,242670000
NS6.Con.24.1,110940000
NS6.Con.24.2,110940000
NS6.Con.24.3,110940000
NS6.Con.36.1,209230000
NS6.Con.36.2,209230000
NS6.Con.36.3,209230000
NS6.Con.48.1,214070000
NS6.Con.48.2,214070000
NS6.Con.48.3,214070000
NS6.Con.60.1,178020000
NS6.Con.60.2,178020000
NS6.Con.60.3,178020000
NS6.Con.72.1,211790000
NS6.Con.72.2,1292180000
NS6.Con.72.3,177700000
NS6.pHMO.0.1,145430000
NS6.pHMO.0.2,145430000
NS6.pHMO.0.3,145430000
NS6.pHMO.12.1,445380000
NS6.pHMO.12.2,443570000
NS6.pHMO.12.3,439070000
NS6.pHMO.24.1,74110000
NS6.pHMO.24.2,74110000
NS6.pHMO.24.3,74110000
NS6.pHMO.36.1,209440000
NS6.pHMO.36.2,209440000
NS6.pHMO.36.3,209440000
NS6.pHMO.48.1,172330000
NS6.pHMO.48.2,172330000
NS6.pHMO.48.3,172330000
NS6.pHMO.60.1,172160000
NS6.pHMO.60.2,172160000
NS6.pHMO.60.3,172160000
NS6.pHMO.72.1,263920000
NS6.pHMO.72.2,221550000
NS6.pHMO.72.3,261560000
S3.2FL.0.1,151880000
S3.2FL.0.2,155630000
S3.2FL.0.3,180710000
S3.2FL.12.1,145810000
S3.2FL.12.2,135250000
S3.2FL.12.3,114590000
S3.2FL.24.1,141020000
S3.2FL.24.2,141020000
S3.2FL.24.3,141020000
S3.2FL.36.1,130420000
S3.2FL.36.2,130420000
S3.2FL.36.3,130420000
S3.2FL.48.1,87690000
S3.2FL.48.2,87690000
S3.2FL.48.3,87690000
S3.2FL.60.1,257270000
S3.2FL.60.2,257270000
S3.2FL.60.3,257270000
S3.2FL.72.1,0
S3.2FL.72.2,0
S3.2FL.72.3,0
S3.Con.0.1,140965000
S3.Con.0.2,152690000
S3.Con.0.3,129240000
S3.Con.12.1,81510000
S3.Con.12.2,74690000
S3.Con.12.3,79150000
S3.Con.24.1,115910000
S3.Con.24.2,115910000
S3.Con.24.3,115910000
S3.Con.36.1,86150000
S3.Con.36.2,86150000
S3.Con.36.3,86150000
S3.Con.48.1,95400000
S3.Con.48.2,95400000
S3.Con.48.3,95400000
S3.Con.60.1,195450000
S3.Con.60.2,195450000
S3.Con.60.3,195450000
S3.Con.72.1,0
